kingdom	phylum	class	order	family	genus	species	feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__GGB28959	s__GGB28959_SGB41668	t__SGB41668	cohort	Fp7	cohortFp7	2.7795091650832493	0	0.8781725975394551	0.0015502657933662675	0.30284786352309023	0.003098128262702453	0.3322374785871458	NA	logistic	32	18
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28924	s__GGB28924_SGB41621	t__SGB41621	cohort	Fp7	cohortFp7	-2.3859839240093055	0	0.818704736104308	0.003564415206036468	0.31623047843265845	0.007116125356311912	0.3472666636068339	NA	logistic	32	17
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Pumilibacteraceae	g__GGB28430	s__GGB28430_SGB41013	t__SGB41013	genotype	Thy1-ASO	genotypeThy1-ASO	-2.511041785259365	0	0.8642316142401563	0.003666440329654011	0.31623047843265845	0.007319437874617109	0.3472666636068339	NA	logistic	32	19
k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Granulimonas	s__Granulimonas_faecalis	t__SGB33580	genotype	Thy1-ASO	genotypeThy1-ASO	-2.0046041009168043	0	0.8445313119922009	0.017614234025336496	0.44911912819984373	0.034918206810373685	0.4936951147481097	NA	logistic	32	17
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28836	s__GGB28836_SGB41496	t__SGB41496	cohort	Fp7	cohortFp7	3.5815918725921074	0	1.5329821206894072	0.01947269863545947	0.44911912819984373	0.01947269863545947	0.46301722451621924	NA	logistic	32	8
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__GGB28904	s__GGB28904_SGB41596	t__SGB41596	cohort	Fp7	cohortFp7	2.004604100916804	0	0.8445313119921982	0.017614234025336174	0.44911912819984373	0.019518290494828915	0.46301722451621924	NA	logistic	32	11
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__GGB28926	s__GGB28926_SGB41624	t__SGB41624	cohort	Fp7	cohortFp7	-2.3484905269060223	0	0.9869515637752153	0.01733427098706248	0.44911912819984373	0.03436806502347203	0.4936951147481097	NA	logistic	32	23
k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Bacteria_unclassified_SGB41677	t__SGB41677	genotype	Thy1-ASO	genotypeThy1-ASO	1.7676326391002244	0	0.7585323647947142	0.019788583119626786	0.44911912819984373	0.039185578217371196	0.4936951147481097	NA	logistic	32	17
k__Bacteria	p__Firmicutes	c__Clostridia	o__Eubacteriales	f__Lachnospiraceae	g__Lachnospiraceae_unclassified	s__Lachnospiraceae_bacterium	t__SGB41402	cohort	Fp7	cohortFp7	2.092038564786005	0	0.8731065603246243	0.016571193497683358	0.44911912819984373	0.03286778254142906	0.4936951147481097	NA	logistic	32	21
k__Bacteria	p__Firmicutes	c__CFGB1765	o__OFGB1765	f__FGB1765	g__GGB31822	s__GGB31822_SGB45198	t__SGB45198	cohort	Fp7	cohortFp7	2.458516465107614	0	1.018899790079518	0.01582560018036234	0.44911912819984373	0.031400750739656	0.4936951147481097	NA	logistic	32	9
